movie,rating_female,rating_male
1,4.213725490196079,4.117029862792575
2,3.161290322580645,3.2116788321167884
3,2.9514563106796117,3.050179211469534
4,2.871794871794872,2.6315789473684212
5,3.0943396226415096,2.967391304347826
6,3.7757009345794392,3.9075043630017454
7,3.51,3.4
8,3.1578947368421053,2.8484848484848486
9,2.5217391304347827,2.736842105263158
10,3.4184782608695654,3.5559701492537314
11,3.871900826446281,3.7734241908006814
12,2.4722222222222223,2.3295454545454546
13,2.85,3.482142857142857
14,3.5294117647058822,3.3513513513513513
15,2.225806451612903,2.6049382716049383
16,3.8,3.7362924281984333
17,4.129032258064516,3.9749478079331944
18,3.2758620689655173,3.5542168674698793
19,2.357142857142857,2.495614035087719
20,2.324324324324324,2.6627906976744184
21,3.5945945945945947,3.631188118811881
22,3.4444444444444446,3.295964125560538
23,2.7333333333333334,2.945945945945946
24,3.1360544217687076,3.1951219512195124
25,3.5650224215246635,3.6902356902356903
26,3.380952380952381,3.5090909090909093
27,2.933333333333333,2.782608695652174
28,4.073170731707317,4.101010101010101
29,4.03921568627451,4.074766355140187
30,3.6470588235294117,3.8
31,3.103448275862069,3.0533333333333332
32,3.9037433155080214,3.942176870748299
34,3.925170068027211,3.8700189753320684
35,3.588235294117647,3.2903225806451615
36,3.902127659574468,3.956022944550669
37,3.3333333333333335,3.3333333333333335
38,3.25,3.176470588235294
39,3.6337579617834397,3.623329283110571
40,4.25,3.5625
41,3.8923076923076922,4.022058823529412
42,2.84,2.888
43,3.3076923076923075,3.4642857142857144
44,2.746031746031746,2.827777777777778
45,3.4344262295081966,3.41025641025641
46,3.264705882352941,3.0851063829787235
47,4.115830115830116,4.132569558101473
48,3.0425531914893615,2.9134615384615383
49,3.3333333333333335,3.7777777777777777
50,4.493857493857494,4.528800755429651
52,3.5247524752475248,3.6709401709401708
53,4.5,4.833333333333333
54,3.6666666666666665,2.56
55,2.875,3.1379310344827585
56,1.3333333333333333,1.75
57,3.272727272727273,3.4545454545454546
58,4.045871559633028,4.109589041095891
59,2.0,2.6
60,3.2291666666666665,3.1717171717171717
61,2.9166666666666665,3.097560975609756
62,3.6564885496183206,3.7157534246575343
63,2.45,3.0
64,1.9375,2.297872340425532
65,1.7777777777777777,2.095890410958904
66,1.608695652173913,1.6724137931034482
68,3.3636363636363638,3.5142857142857142
69,3.6493506493506493,3.702247191011236
70,2.9209302325581397,3.2085561497326203
71,2.1818181818181817,2.227272727272727
72,3.68,3.477272727272727
73,3.63265306122449,3.8292682926829267
74,2.9473684210526314,3.0338983050847457
75,2.6666666666666665,2.0
76,2.7254901960784315,2.9081632653061225
77,3.4285714285714284,3.8181818181818183
78,3.125,3.2962962962962963
79,2.59375,2.7096774193548385
80,4.166666666666667,3.7586206896551726
81,2.9210526315789473,3.2244897959183674
82,3.8421052631578947,3.8125
83,3.4,3.6842105263157894
84,2.8,3.090909090909091
85,3.588235294117647,3.3675213675213675
86,3.25,3.5
87,1.9411764705882353,2.2444444444444445
88,2.86046511627907,2.970873786407767
89,3.0526315789473686,3.108527131782946
90,2.0,4.0
92,2.272727272727273,2.2291666666666665
93,2.44,2.024390243902439
94,3.65625,3.752808988764045
95,2.8344827586206898,2.8723958333333335
96,4.0,4.25
97,4.1,3.769230769230769
99,3.0833333333333335,3.6129032258064515
100,3.121212121212121,3.1044776119402986
101,3.9454545454545453,3.8360655737704916
102,1.7,1.8333333333333333
103,3.0,3.3636363636363638
104,3.5972222222222223,3.5424164524421595
105,3.0714285714285716,3.315068493150685
106,4.0,3.0
107,3.142857142857143,3.0833333333333335
108,1.0,3.6
110,4.242881072026801,4.239218328840971
111,4.131868131868132,4.246736292428198
112,3.4146341463414633,3.492711370262391
113,3.111111111111111,2.933333333333333
114,5.0,2.8333333333333335
116,3.6666666666666665,4.28
117,3.5,3.6363636363636362
118,3.1538461538461537,3.0238095238095237
119,2.5,1.875
121,4.222222222222222,4.0
122,2.682926829268293,2.7983193277310923
123,3.8333333333333335,3.935483870967742
124,3.0,2.8
125,3.8313253012048194,3.899408284023669
126,1.6666666666666667,2.1639344262295084
128,4.0,4.333333333333333
129,4.0,2.75
131,3.0,3.1666666666666665
132,2.75,2.452830188679245
134,4.0,4.0
135,2.4210526315789473,2.9864864864864864
136,2.5,3.75
137,3.0,2.3333333333333335
140,3.3225806451612905,3.088607594936709
141,3.5774647887323945,3.5610389610389612
144,3.4,3.3813559322033897
145,3.3421052631578947,3.2465753424657535
146,4.0,3.1538461538461537
147,3.522727272727273,3.5918367346938775
148,2.75,2.8
149,3.4166666666666665,3.933333333333333
150,4.0476190476190474,4.058908045977011
151,3.661870503597122,3.573208722741433
